RunId,point_sensing_radius,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,mean_excess_service_units,final_excess_service_units,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
360,10.0,10.0,90,0.43772222222222223,600.0,10.0,0.3333333333333333,0.01,0.0,226.0,0,0,
361,25.0,10.0,90,0.8057777777777778,600.0,24.0,0.8,0.015,0.0,,0,0,
362,10.0,25.0,90,0.42849999999999994,600.0,10.0,0.3333333333333333,0.01,0.0,183.0,0,0,
363,25.0,25.0,90,0.4352777777777778,600.0,9.0,0.3,0.02666666666666667,0.0,214.0,0,0,
364,10.0,10.0,91,0.4756666666666666,600.0,9.0,0.3,0.023333333333333334,0.0,283.0,0,0,
365,25.0,10.0,91,0.6332222222222222,600.0,18.0,0.6,1.8666666666666667,2.0,,0,0,
366,10.0,25.0,91,0.5425,600.0,9.0,0.3,0.023333333333333334,0.0,320.0,0,0,
367,25.0,25.0,91,0.4032222222222222,600.0,8.0,0.2666666666666666,1.8666666666666667,2.0,207.0,0,0,
368,10.0,10.0,92,0.41733333333333333,600.0,7.0,0.2333333333333333,0.02,0.0,216.0,0,0,
369,25.0,10.0,92,0.714,600.0,21.0,0.7,0.028333333333333332,0.0,,0,0,
370,10.0,25.0,92,0.44622222222222224,600.0,9.0,0.3,0.03166666666666667,0.0,252.0,0,0,
371,25.0,25.0,92,0.3199444444444444,600.0,5.0,0.1666666666666666,0.03166666666666667,0.0,153.0,0,0,
372,10.0,10.0,93,0.46544444444444444,600.0,10.0,0.3333333333333333,0.011666666666666667,0.0,273.0,0,0,
373,25.0,10.0,93,0.6902777777777778,600.0,20.0,0.6666666666666666,0.9116666666666666,1.0,,0,0,
374,10.0,25.0,93,0.5280555555555555,600.0,10.0,0.3333333333333333,0.016666666666666666,0.0,363.0,0,0,
375,25.0,25.0,93,0.47455555555555556,600.0,8.0,0.2666666666666666,0.05333333333333334,0.0,314.0,0,0,
376,10.0,10.0,94,0.4453333333333333,600.0,8.0,0.2666666666666666,0.015,0.0,245.0,0,0,
377,25.0,10.0,94,0.6929444444444445,600.0,20.0,0.6666666666666666,0.025,0.0,,0,0,
378,10.0,25.0,94,0.4571111111111111,600.0,7.0,0.2333333333333333,0.043333333333333335,1.0,301.0,0,0,
379,25.0,25.0,94,0.44161111111111107,600.0,8.0,0.2666666666666666,0.5616666666666666,1.0,287.0,0,0,
380,10.0,10.0,95,0.460611111111111,600.0,10.0,0.3333333333333333,0.013333333333333334,0.0,207.0,0,0,
381,25.0,10.0,95,0.5356666666666666,600.0,15.0,0.5,0.03333333333333333,0.0,,0,0,
382,10.0,25.0,95,0.4498333333333333,600.0,10.0,0.3333333333333333,0.01,0.0,241.0,0,0,
383,25.0,25.0,95,0.3468333333333333,600.0,7.0,0.2333333333333333,0.04666666666666667,0.0,90.0,0,0,
384,10.0,10.0,96,0.37716666666666665,600.0,6.0,0.2,0.01,0.0,180.0,0,0,
385,25.0,10.0,96,0.6241666666666666,600.0,18.0,0.6,0.025,0.0,,0,0,
386,10.0,25.0,96,0.4140555555555555,600.0,5.0,0.1666666666666666,0.008333333333333333,0.0,264.0,0,0,
387,25.0,25.0,96,0.4349444444444444,600.0,10.0,0.3333333333333333,0.02666666666666667,0.0,155.0,0,0,
388,10.0,10.0,97,0.3732222222222222,600.0,7.0,0.2333333333333333,0.021666666666666667,0.0,119.0,0,0,
389,25.0,10.0,97,0.6430555555555555,600.0,19.0,0.6333333333333333,0.03166666666666667,0.0,,0,0,
390,10.0,25.0,97,0.41788888888888887,600.0,8.0,0.2666666666666666,0.02,0.0,183.0,0,0,
391,25.0,25.0,97,0.32172222222222224,600.0,6.0,0.2,0.03333333333333333,0.0,105.0,0,0,
392,10.0,10.0,98,0.30994444444444447,600.0,4.0,0.1333333333333333,0.07333333333333333,0.0,143.0,0,0,
393,25.0,10.0,98,0.474,600.0,13.0,0.4333333333333333,1.7883333333333333,2.0,,0,0,
394,10.0,25.0,98,0.43816666666666665,600.0,4.0,0.1333333333333333,0.03833333333333333,0.0,313.0,0,0,
395,25.0,25.0,98,0.16738888888888884,600.0,1.0,0.0333333333333333,2.71,3.0,59.0,0,0,
396,10.0,10.0,99,0.3935,600.0,5.0,0.1666666666666666,0.0033333333333333335,0.0,126.0,0,0,
397,25.0,10.0,99,0.5837777777777777,600.0,16.0,0.5333333333333333,0.06333333333333334,0.0,,0,0,
398,10.0,25.0,99,0.358,600.0,6.0,0.2,0.006666666666666667,0.0,142.0,0,0,
399,25.0,25.0,99,0.2796666666666666,600.0,2.0,0.0666666666666666,1.7183333333333333,2.0,105.0,0,0,
